Date,Nonfarm employment,Total private,Goods producing,Mining & logging,Construction,Manufacturing,Durable goods,Motor vehicles & parts,Nondurable goods,Private service-providing,Wholesale trade,Retail trade,Transportation & warehousing,Information,Financial activities,Professional & business services,Temporary help services,Education & health services,Health care & social assistance,Leisure & hospitality,Other services,Government
7/31/19,193.0,148.0,-5.0,-7.0,4.0,-2.0,-3.0,-5.0,1.0,153.0,3.2,-3.0,13.5,0.0,24.0,30.0,-4.3,65.0,51.8,11.0,10.0,45.0
8/30/19,195.0,139.0,-5.0,-8.0,3.0,0.0,-5.0,-1.7,5.0,144.0,-2.7,-19.3,7.4,2.0,17.0,29.0,4.0,62.0,60.3,45.0,5.0,56.0
9/30/19,221.0,194.0,11.0,-1.0,18.0,-6.0,-7.0,-0.9,1.0,183.0,2.3,8.4,21.9,4.0,5.0,20.0,7.3,59.0,51.0,68.0,-5.0,27.0
10/31/19,195.0,193.0,-24.0,1.0,20.0,-45.0,-51.0,-45.6,6.0,217.0,5.7,23.9,19.3,2.0,21.0,34.0,-5.7,35.0,40.8,79.0,-1.0,2.0
11/29/19,234.0,210.0,39.0,-12.0,2.0,49.0,40.0,41.0,9.0,171.0,-1.9,-32.4,23.0,10.0,19.0,31.0,0.5,66.0,58.9,42.0,13.0,24.0
12/31/19,161.0,148.0,-11.0,-13.0,11.0,-9.0,-7.0,-0.5,-2.0,159.0,5.7,43.1,13.3,11.0,8.0,5.0,5.2,27.0,30.1,42.0,3.0,13.0
1/31/20,315.0,255.0,36.0,-5.0,58.0,-17.0,-14.0,-9.9,-3.0,219.0,2.0,-13.9,37.1,13.0,17.0,27.0,-2.7,80.0,51.8,47.0,11.0,60.0
2/28/20,289.0,243.0,41.0,1.0,33.0,7.0,5.0,10.3,2.0,202.0,-5.9,4.6,25.0,4.0,26.0,32.0,-4.9,52.0,59.6,57.0,7.0,46.0
3/31/20,"-1,683.0","-1,622.0",-188.0,-16.0,-91.0,-81.0,-46.0,-7.3,-35.0,"-1,434.0",-18.6,-126.2,-1.0,-16.0,-25.0,-151.0,-50.3,-218.0,-136.1,-782.0,-95.0,-61.0
4/30/20,"-20,679.0","-19,731.0","-2,378.0",-52.0,"-1,022.0","-1,304.0",-899.0,-352.6,-405.0,"-17,353.0",-390.6,"-2,248.3",-573.6,-265.0,-254.0,"-2,236.0",-947.7,"-2,625.0","-2,181.9","-7,442.0","-1,315.0",-948.0
5/29/20,"2,833.0","3,345.0",691.0,-21.0,469.0,243.0,139.0,37.6,104.0,"2,654.0",22.6,408.8,-9.5,-39.0,17.0,165.0,49.1,385.0,367.3,"1,455.0",250.0,-512.0
